Series Name,SeriesCode,CountryName,CountryCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Individuals using the Internet (% of population),IT.NET.USER.ZS,Benin,BEN, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , -   , -   , -   , -   , -   , -   , 0.00 , 0.02 , 0.05 , 0.15 , 0.23 , 0.36 , 0.70 , 0.95 , 1.18 , 1.27 , 1.54 , 1.79 , 1.85 , 2.24 , 3.13 , 4.15 , 4.50 , 4.90 , 6.00 , 11.25 , 14.50 , 18.70 , 19.00 , 22.42 , 28.23 , 33.97 , .. , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bermuda,BMU, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , -   , -   , -   , -   , -   , 6.84 , 16.20 , 24.19 , 32.10 , 39.95 , 42.95 , 47.51 , 52.03 , 56.52 , 60.99 , 65.45 , 69.90 , 74.35 , 82.30 , 83.25 , 84.21 , 88.34 , 91.30 , 95.30 , 96.80 , 98.32 , 98.00 , 98.37 , .. , .. , .. , .. , .. , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bhutan,BTN, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , -   , -   , -   , -   , -   , -   , .. , .. , .. , 0.14 , 0.40 , 0.86 , 1.68 , 2.44 , 3.16 , 3.85 , 4.52 , 5.92 , 6.55 , 7.17 , 13.60 , 14.40 , 15.60 , 22.40 , 30.30 , 39.80 , 46.50 , 54.30 , 63.50 , 74.18 , 79.87 , 85.64 , .. , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bolivia,BOL, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , -   , -   , -   , -   , -   , 0.07 , 0.20 , 0.45 , 0.63 , 0.98 , 1.44 , 2.12 , 3.12 , 3.51 , 4.44 , 5.23 , 6.20 , 10.50 , 12.50 , 16.80 , 22.40 , 30.00 , 35.34 , 36.99 , 34.60 , 37.49 , 39.70 , 43.83 , 44.29 , 47.47 , 59.94 , 65.98 , .. , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bosnia and Herzegovina,BIH, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , -   , -   , -   , -   , -   , -   , 0.02 , 0.06 , 0.14 , 0.19 , 1.08 , 1.20 , 2.65 , 3.97 , 15.47 , 21.33 , 25.12 , 27.92 , 34.66 , 37.74 , 42.75 , 43.89 , 45.06 , 48.52 , 49.92 , 52.60 , 60.26 , 64.89 , 70.12 , 69.95 , 73.21 , 75.68 , 78.85 , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,Botswana,BWA, -   , .. , .. , .. , .. , -   , .. , .. , .. , .. , -   , .. , .. , .. , .. , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.06 , 0.16 , 0.31 , 0.60 , 1.12 , 2.90 , 3.43 , 3.39 , 3.35 , 3.30 , 3.26 , 4.29 , 5.28 , 6.25 , 6.15 , 6.00 , 9.00 , 16.00 , 30.00 , 36.74 , 37.31 , 39.36 , 41.41 , 58.00 , 64.83 , 72.75 , 73.50 , .. , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,Brazil,BRA, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , -   , 0.00 , 0.01 , 0.03 , 0.04 , 0.11 , 0.45 , 0.79 , 1.48 , 2.04 , 2.87 , 4.53 , 9.15 , 13.21 , 19.07 , 21.02 , 28.18 , 30.88 , 33.83 , 39.22 , 40.65 , 45.69 , 48.56 , 51.04 , 54.55 , 58.33 , 60.87 , 67.47 , 70.43 , 73.91 , 81.34 , 80.69 , 80.53 , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,British Virgin Islands,VGB, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , -   , -   , -   , -   , -   , -   , .. , .. , .. , .. , .. , .. , 18.89 , .. , .. , .. , .. , .. , .. , 36.00 , 37.00 , 37.40 , 37.60 , .. , .. , .. , 77.70 , 77.70 , .. , .. , .. , .. , .. , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,Brunei Darussalam,BRN, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , -   , -   , -   , -   , -   , 1.02 , 3.30 , 4.83 , 6.28 , 7.67 , 9.00 , 12.92 , 15.33 , 19.60 , 29.72 , 36.47 , 42.19 , 44.68 , 46.00 , 49.00 , 53.00 , 56.00 , 60.27 , 64.50 , 68.77 , 71.20 , 90.00 , 94.87 , 95.00 , 95.00 , 96.07 , 98.08 , .. , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bulgaria,BGR, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , -   , -   , -   , 0.00 , 0.02 , 0.12 , 0.73 , 1.22 , 1.84 , 2.91 , 5.37 , 7.61 , 9.08 , 12.04 , 18.13 , 19.97 , 27.09 , 33.64 , 39.67 , 45.00 , 46.23 , 47.98 , 51.90 , 53.06 , 55.49 , 56.66 , 59.83 , 63.41 , 64.78 , 67.95 , 70.16 , 75.27 , 79.13 , .. 
